,ReturnDate,ReturnQuantity,SubcategoryName,OrderDate,OrderQuantity
4,,0.0,Bike Racks,2017-01-01,1
5,2017-01-01,1.0,Bottles and Cages,2017-01-01,46
6,,0.0,Caps,2017-01-01,9
7,,0.0,Cleaners,2017-01-01,2
8,2017-01-01,1.0,Fenders,2017-01-01,8
9,,0.0,Helmets,2017-01-01,12
10,,0.0,Jerseys,2017-01-01,7
11,,0.0,Mountain Bikes,2017-01-01,4
12,,0.0,Road Bikes,2017-01-01,8
13,,0.0,Shorts,2017-01-01,1
14,2017-01-01,2.0,Tires and Tubes,2017-01-01,39
15,,0.0,Touring Bikes,2017-01-01,3
16,,0.0,Vests,2017-01-01,1
20,,0.0,Bike Racks,2017-02-01,2
21,2017-02-01,1.0,Bottles and Cages,2017-02-01,24
22,,0.0,Caps,2017-02-01,11
23,,0.0,Cleaners,2017-02-01,3
24,,0.0,Fenders,2017-02-01,17
25,,0.0,Gloves,2017-02-01,14
26,2017-02-01,3.0,Helmets,2017-02-01,19
27,,0.0,Hydration Packs,2017-02-01,1
28,,0.0,Jerseys,2017-02-01,9
29,,0.0,Mountain Bikes,2017-02-01,7
30,,0.0,Road Bikes,2017-02-01,7
31,,0.0,Shorts,2017-02-01,2
32,,0.0,Socks,2017-02-01,2
33,2017-02-01,2.0,Tires and Tubes,2017-02-01,57
34,2017-02-01,1.0,Touring Bikes,2017-02-01,7
35,,0.0,Vests,2017-02-01,3
40,,0.0,Bike Racks,2017-03-01,1
41,2017-03-01,2.0,Bottles and Cages,2017-03-01,31
42,,0.0,Caps,2017-03-01,14
43,,0.0,Cleaners,2017-03-01,12
44,2017-03-01,1.0,Fenders,2017-03-01,22
45,,0.0,Gloves,2017-03-01,6
46,,0.0,Helmets,2017-03-01,19
47,2017-03-01,1.0,Hydration Packs,2017-03-01,4
48,,0.0,Jerseys,2017-03-01,8
49,,0.0,Mountain Bikes,2017-03-01,11
50,,0.0,Road Bikes,2017-03-01,8
51,,0.0,Socks,2017-03-01,2
52,2017-03-01,1.0,Tires and Tubes,2017-03-01,51
53,,0.0,Touring Bikes,2017-03-01,4
58,,0.0,Bottles and Cages,2017-04-01,27
59,,0.0,Caps,2017-04-01,11
60,2017-04-01,1.0,Cleaners,2017-04-01,4
61,,0.0,Fenders,2017-04-01,6
62,,0.0,Gloves,2017-04-01,12
63,,0.0,Helmets,2017-04-01,8
64,,0.0,Hydration Packs,2017-04-01,2
65,,0.0,Jerseys,2017-04-01,8
66,,0.0,Mountain Bikes,2017-04-01,9
67,,0.0,Road Bikes,2017-04-01,9
68,,0.0,Shorts,2017-04-01,1
69,,0.0,Socks,2017-04-01,4
70,2017-04-01,1.0,Tires and Tubes,2017-04-01,67
71,,0.0,Touring Bikes,2017-04-01,6
72,,0.0,Vests,2017-04-01,3
76,,0.0,Bike Racks,2017-05-01,1
77,2017-05-01,1.0,Bottles and Cages,2017-05-01,32
78,,0.0,Caps,2017-05-01,7
79,,0.0,Cleaners,2017-05-01,6
80,,0.0,Fenders,2017-05-01,8
81,,0.0,Gloves,2017-05-01,9
82,2017-05-01,1.0,Helmets,2017-05-01,17
83,,0.0,Hydration Packs,2017-05-01,3
84,,0.0,Jerseys,2017-05-01,9
85,,0.0,Mountain Bikes,2017-05-01,10
86,,0.0,Road Bikes,2017-05-01,10
87,,0.0,Shorts,2017-05-01,5
88,,0.0,Socks,2017-05-01,5
89,2017-05-01,1.0,Tires and Tubes,2017-05-01,55
90,,0.0,Touring Bikes,2017-05-01,4
91,,0.0,Vests,2017-05-01,2
95,2017-06-01,1.0,Bike Stands,2017-06-01,1
96,2017-06-01,1.0,Bottles and Cages,2017-06-01,30
97,2017-06-01,1.0,Caps,2017-06-01,14
98,,0.0,Cleaners,2017-06-01,5
99,,0.0,Fenders,2017-06-01,13
100,,0.0,Gloves,2017-06-01,4
101,,0.0,Helmets,2017-06-01,17
102,,0.0,Hydration Packs,2017-06-01,3
103,,0.0,Jerseys,2017-06-01,12
104,,0.0,Mountain Bikes,2017-06-01,8
105,2017-06-01,1.0,Road Bikes,2017-06-01,10
106,,0.0,Shorts,2017-06-01,1
107,,0.0,Socks,2017-06-01,4
108,,0.0,Tires and Tubes,2017-06-01,63
109,,0.0,Touring Bikes,2017-06-01,4
110,,0.0,Vests,2017-06-01,1
116,,0.0,Mountain Bikes,2016-08-01,6
117,,0.0,Road Bikes,2016-08-01,4
119,,0.0,Mountain Bikes,2016-09-01,5
120,2016-09-01,1.0,Road Bikes,2016-09-01,4
123,,0.0,Mountain Bikes,2016-10-01,2
124,2016-10-01,1.0,Road Bikes,2016-10-01,8
127,,0.0,Mountain Bikes,2016-11-01,3
128,,0.0,Road Bikes,2016-11-01,4
130,,0.0,Mountain Bikes,2016-12-01,5
131,,0.0,Road Bikes,2016-12-01,2
135,,0.0,Bike Racks,2017-01-02,3
136,,0.0,Bike Stands,2017-01-02,1
137,2017-01-02,2.0,Bottles and Cages,2017-01-02,50
138,2017-01-02,1.0,Caps,2017-01-02,16
139,,0.0,Cleaners,2017-01-02,10
140,2017-01-02,1.0,Fenders,2017-01-02,13
141,,0.0,Gloves,2017-01-02,7
142,,0.0,Helmets,2017-01-02,19
143,,0.0,Hydration Packs,2017-01-02,5
144,,0.0,Jerseys,2017-01-02,9
145,2017-01-02,1.0,Mountain Bikes,2017-01-02,14
146,,0.0,Road Bikes,2017-01-02,11
147,,0.0,Shorts,2017-01-02,1
148,,0.0,Socks,2017-01-02,3
149,2017-01-02,1.0,Tires and Tubes,2017-01-02,75
150,,0.0,Touring Bikes,2017-01-02,8
151,,0.0,Vests,2017-01-02,2
155,,0.0,Bike Stands,2017-02-02,1
156,2017-02-02,1.0,Bottles and Cages,2017-02-02,61
157,,0.0,Caps,2017-02-02,19
158,,0.0,Cleaners,2017-02-02,7
159,,0.0,Fenders,2017-02-02,10
160,,0.0,Gloves,2017-02-02,5
161,,0.0,Helmets,2017-02-02,9
162,,0.0,Hydration Packs,2017-02-02,7
163,2017-02-02,1.0,Jerseys,2017-02-02,10
164,,0.0,Mountain Bikes,2017-02-02,10
165,,0.0,Road Bikes,2017-02-02,13
166,,0.0,Shorts,2017-02-02,4
